Meal_ID,Meal_Type,Meal_Name,Related_Beverage,Calories,Protein_g,Sugars_g,Fats_g,Cholesterol_mg,Iron_mg,Magnesium_mg,Calcium_mg,Potassium_mg,Manganese_mg,Vitamin_C_mg,Vitamin_D_IU
1,Breakfast,Greek yogurt with granola and berries,Milk,626,6.6,1.2,26.0,105.1,3.5,144.3,482.6,454.1,1.0,48.7,299.5
2,Breakfast,Scrambled eggs with toast,Orange juice,595,12.2,2.7,24.2,150.7,2.4,100.3,390.8,796.2,2.1,49.0,111.9
3,Breakfast,Oatmeal with banana and peanut butter,Honey topped coffee and cream,184,23.3,23.3,14.9,99.1,7.8,137.0,312.8,805.0,1.9,70.7,373.9
4,Breakfast,Egg and cheese breakfast burrito,Green tea,330,27.4,22.1,6.9,148.5,4.5,125.6,326.2,507.3,0.2,33.7,391.1
5,Breakfast,Whole grain pancakes with fruit,Water,291,42.4,12.8,31.0,55.2,5.4,91.1,303.5,628.6,0.8,10.4,67.3
6,Breakfast,Cottage cheese with pineapple,Protein shake,648,24.1,17.7,13.8,65.5,7.8,51.9,391.9,889.1,2.4,30.2,71.6
7,Breakfast,Avocado toast with eggs,Fruit smoothie,776,43.8,22.6,15.1,9.3,6.4,76.8,492.9,624.4,1.5,34.1,221.7
8,Breakfast,Protein smoothie with spinach,Chocolate milk,318,26.7,20.4,15.1,1.8,7.2,39.1,420.6,592.9,1.4,44.7,150.6
9,Breakfast,Honey topped coffee and cream with eggs,Sparkling water,691,16.6,15.0,12.9,169.6,4.8,152.0,396.9,885.4,0.8,30.7,325.2
10,Breakfast,Whole grain cereal with milk,Herbal tea,649,32.4,7.1,39.0,166.1,2.5,47.5,234.0,499.8,1.6,19.9,386.1
11,Lunch,Peanut butter and jelly sandwich,Milk,677,10.8,23.9,11.9,2.1,2.1,131.7,349.1,177.0,0.7,12.7,305.4
12,Lunch,Turkey and cheese wrap,Orange juice,638,5.7,16.9,16.4,107.4,7.6,131.3,102.3,352.0,2.1,39.8,55.1
13,Lunch,Chicken salad with greens,Honey topped coffee and cream,827,42.4,27.3,39.7,156.7,7.0,63.2,199.0,844.4,0.7,80.7,310.2
14,Lunch,Ham sandwich with fruit,Green tea,753,24.6,17.9,16.2,91.8,5.8,78.2,225.4,299.4,1.7,20.8,83.4
15,Lunch,Bean and rice bowl,Water,237,11.4,6.4,25.4,113.1,4.5,81.7,377.0,379.4,2.0,56.3,209.1
16,Lunch,Chicken quesadilla,Protein shake,778,34.8,17.9,22.0,21.6,3.0,57.4,274.8,746.6,1.7,41.2,148.1
17,Lunch,Tuna salad sandwich,Fruit smoothie,322,44.3,25.6,8.2,63.9,4.9,63.3,402.4,554.9,0.3,38.2,54.4
18,Lunch,Greek yogurt parfait,Chocolate milk,836,45.0,29.5,15.5,84.7,7.7,115.0,238.9,268.6,1.4,50.1,311.6
19,Lunch,Pasta salad with vegetables,Sparkling water,370,35.1,27.4,24.7,124.0,3.2,86.8,451.0,867.6,0.9,2.4,342.0
20,Lunch,Grilled cheese and tomato soup,Herbal tea,330,29.3,5.0,4.4,134.6,5.5,58.4,488.3,256.6,0.8,74.5,225.2
21,Dinner,Grilled chicken with rice and broccoli,Milk,196,11.3,16.9,26.4,178.6,7.2,123.3,205.9,215.2,1.5,83.8,284.2
22,Dinner,Salmon with sweet potato,Orange juice,831,37.8,30.4,21.7,139.6,3.9,54.6,131.9,651.3,1.9,5.4,398.4
23,Dinner,Turkey chili with beans,Honey topped coffee and cream,414,34.7,15.7,36.9,66.4,5.7,63.8,341.7,708.7,1.9,75.1,289.9
24,Dinner,Beef stir fry with vegetables,Green tea,843,31.4,7.2,9.3,129.7,4.7,35.4,94.3,238.6,1.5,3.3,150.4
25,Dinner,Whole wheat spaghetti with meat sauce,Water,308,11.2,32.2,32.0,155.2,7.2,153.0,356.9,624.2,1.2,4.9,35.4
