Meal_ID,Meal_Type,Meal_Name,Calories,Protein_g,Sugars_g,Fats_g,Cholesterol_mg,Iron_mg,Magnesium_mg,Calcium_mg,Potassium_mg,Manganese_mg,Vitamin_C_mg,Vitamin_D_IU
1,Breakfast,Greek yogurt with granola and berries,374.8,27.0,25.3,27.0,109.6,4.8,113.9,222.5,353.1,1.6,46.2,168.3
2,Breakfast,Scrambled eggs with toast,622.4,22.7,20.6,23.0,89.2,5.1,95.3,397.7,600.6,1.4,37.3,252.0
3,Breakfast,Oatmeal with banana and peanut butter,480.0,28.7,18.9,17.7,93.0,4.9,109.7,305.0,580.4,1.1,75.7,288.9
4,Breakfast,Egg and cheese breakfast burrito,495.8,25.5,22.2,20.5,114.7,4.5,116.6,281.4,555.3,0.7,17.6,264.3
5,Breakfast,Whole grain pancakes with fruit,489.0,34.5,17.2,21.3,93.4,5.7,77.2,266.8,606.5,1.1,21.6,273.2
6,Breakfast,Cottage cheese with pineapple,521.6,27.1,22.2,21.5,61.8,4.9,91.8,196.6,547.5,1.6,32.7,185.0
7,Breakfast,Avocado toast with eggs,549.8,28.0,12.8,15.8,87.7,4.5,93.3,252.5,538.5,1.8,44.2,209.9
8,Breakfast,Protein smoothie with spinach,356.0,22.5,14.7,22.9,60.7,4.6,99.7,261.8,561.7,1.4,37.7,172.7
9,Breakfast,Honey topped coffee and cream with eggs,476.8,25.0,18.7,17.4,66.4,4.9,110.1,333.8,720.7,1.2,52.5,254.3
10,Breakfast,Whole grain cereal with milk,598.6,29.7,14.5,21.1,96.8,5.1,63.4,238.7,563.6,1.4,42.2,214.5
11,Lunch,Peanut butter and jelly sandwich,545.6,24.2,21.8,19.9,76.9,3.6,117.5,302.2,431.2,1.3,44.0,247.6
12,Lunch,Turkey and cheese wrap,654.8,22.5,15.4,27.3,108.1,6.5,120.5,202.8,383.7,1.6,48.8,190.1
13,Lunch,Chicken salad with greens,672.8,24.8,29.0,24.9,79.9,6.0,100.8,277.9,511.0,1.0,59.5,221.2
14,Lunch,Ham sandwich with fruit,514.6,17.7,22.5,27.0,122.9,4.1,116.4,306.9,360.5,1.4,41.8,232.9
15,Lunch,Bean and rice bowl,488.6,15.7,13.8,18.5,93.7,4.5,120.0,289.9,448.2,1.8,45.1,183.1
16,Lunch,Chicken quesadilla,559.0,24.7,22.5,27.2,84.3,4.6,96.6,229.1,561.0,2.0,29.3,150.3
17,Lunch,Tuna salad sandwich,327.2,29.0,20.2,6.7,93.9,4.6,132.9,330.2,529.9,0.9,43.3,154.2
18,Lunch,Greek yogurt parfait,495.8,28.2,21.6,21.0,128.8,4.6,106.8,275.3,421.2,1.8,35.2,143.5
19,Lunch,Pasta salad with vegetables,642.4,27.4,17.3,23.7,78.7,3.7,102.3,323.5,485.5,1.4,35.3,199.5
20,Lunch,Grilled cheese and tomato soup,486.4,28.5,10.6,10.2,80.8,5.2,78.7,298.9,406.0,1.4,50.0,318.0
21,Dinner,Grilled chicken with rice and broccoli,476.2,24.9,22.4,21.8,88.2,6.2,119.0,274.0,518.3,1.3,41.8,201.9
22,Dinner,Salmon with sweet potato,471.0,25.3,27.5,20.7,100.4,5.0,62.5,157.2,516.1,1.9,30.8,290.4
23,Dinner,Turkey chili with beans,549.6,28.1,15.7,17.6,65.3,4.8,95.5,245.4,548.2,1.5,46.4,152.6
24,Dinner,Beef stir fry with vegetables,604.6,31.3,20.0,16.8,103.0,4.1,92.4,319.9,530.6,1.1,42.3,220.7
25,Dinner,Whole wheat spaghetti with meat sauce,518.8,30.6,19.8,15.8,108.8,6.1,100.7,339.8,615.6,1.2,34.1,213.3
26,Dinner,Chicken fajitas,434.4,23.1,23.4,15.4,127.8,4.3,104.3,270.7,560.2,1.6,43.0,109.9
27,Dinner,Vegetable soup with bread,507.4,19.6,20.2,24.4,102.6,4.9,70.7,337.1,450.3,2.1,35.7,169.0
28,Dinner,Baked chicken thighs with carrots,606.0,22.7,14.0,23.5,76.9,4.5,105.4,315.8,514.5,1.7,56.8,214.4
29,Dinner,Shrimp and rice bowl,426.8,23.0,23.0,27.9,67.5,4.5,84.6,285.5,559.1,1.4,35.0,200.5
30,Dinner,Lentil curry with rice,514.2,14.5,17.2,21.8,97.4,3.8,123.9,299.9,511.8,1.0,49.6,137.4
31,Snack,Apple slices with peanut butter,346.4,32.7,23.2,28.0,60.4,5.5,136.5,227.8,328.1,1.7,41.2,170.6
32,Snack,String cheese and crackers,509.8,27.7,25.4,20.6,126.9,3.8,102.8,314.0,421.5,1.0,38.9,213.9
33,Snack,Trail mix,571.8,18.4,19.9,23.0,82.3,5.3,86.7,329.2,456.1,1.3,48.6,235.8
34,Snack,Greek yogurt cup,443.6,20.2,16.8,19.5,93.0,4.4,74.9,236.7,594.1,1.4,45.0,197.3
