Category,Item,Weekly Quantity,Unit
Produce,Bananas,21,medium
Produce,Apples,14,medium
Produce,Strawberries,4,containers
Produce,Blueberries,2,containers
Produce,Grapes,2,bags
Produce,Avocados,6,whole
Produce,Sweet potatoes,6,whole
Produce,Carrots,3,bags
Produce,Cucumbers,6,whole
Produce,Bell peppers,6,whole
Produce,Broccoli,4,crowns
Produce,Spinach,2,large containers
Produce,Mixed salad greens,2,containers
Produce,Onions,4,whole
Produce,Garlic,2,bulbs
Produce,Frozen mixed vegetables,4,bags
Produce,Frozen berries,2,bags
Protein & Dairy,Eggs,5,dozen
Protein & Dairy,Greek yogurt,2,large tubs
Protein & Dairy,Whole milk,3,gallons
Protein & Dairy,Cheddar cheese,2,blocks
Protein & Dairy,String cheese,3,packs
Protein & Dairy,Chicken thighs,8,lbs
Protein & Dairy,Ground turkey,3,lbs
Protein & Dairy,Turkey lunch meat,3,packs
Protein & Dairy,Ham lunch meat,2,packs
Protein & Dairy,Salmon,2,lbs
Protein & Dairy,Peanut butter,2,jars
Protein & Dairy,Black beans,6,cans
Protein & Dairy,Chickpeas,4,cans
Pantry,Old fashioned oats,2,large containers
Pantry,Whole wheat bread,4,loaves
Pantry,Whole grain crackers,3,boxes
Pantry,Brown rice,1,10 lb bag
Pantry,Whole wheat pasta,4,boxes
Pantry,Tortillas,3,packs
Pantry,Pasta sauce,4,jars
Pantry,Olive oil,1,bottle
Pantry,Trail mix,2,bags
Pantry,Raisins,2,boxes
Pantry,Applesauce pouches,2,boxes
Snacks & Extras,Granola bars,3,boxes
Snacks & Extras,Popcorn,2,boxes
Snacks & Extras,Fruit cups,2,packs
Snacks & Extras,Mini cookies,1,box
Snacks & Extras,Hummus,2,containers
